lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E07000076,Tendring,E54000023,Suffolk and North East Essex,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,89,30.03685393258427,24.916,3.8426966292134823,38,2
E07000077,Uttlesford,E54000025,Hertfordshire and West Essex,TLH35,West Essex,TLH3,Essex,TLH,East,46,9.281565217391304,9.0135,8.152173913043478,290,10
E07000078,Cheltenham,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),75,14.291706666666666,9.409,7.013333333333333,217,7
E07000079,Cotswold,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),51,10.974862745098038,10.857,7.647058823529412,272,9
E07000080,Forest of Dean,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),50,18.1901,16.4905,5.62,157,6
E07000081,Gloucester,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),78,22.098628205128204,16.6045,5.448717948717949,110,4
E07000082,Stroud,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),69,10.821985507246376,9.483,7.811594202898551,274,9
E07000083,Tewkesbury,E54000043,Gloucestershire,TLK13,Gloucestershire CC,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),50,12.09806,9.866,7.5,251,9
E07000084,Basingstoke and Deane,E54000042,Hampshire and the Isle of Wight,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),109,12.672642201834861,10.445,7.3577981651376145,242,8
E07000085,East Hampshire,E54000042,Hampshire and the Isle of Wight,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),72,10.389,8.8195,7.986111111111111,278,9
E07000086,Eastleigh,E54000042,Hampshire and the Isle of Wight,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),77,10.065285714285714,8.357,8.064935064935066,281,10
E07000087,Fareham,E54000042,Hampshire and the Isle of Wight,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),73,9.120712328767123,7.212,8.32876712328767,292,10
E07000088,Gosport,E54000042,Hampshire and the Isle of Wight,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),53,20.03656603773585,18.532,5.528301886792454,135,5
E07000089,Hart,E54000034,Frimley Health and Care ICS,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),57,5.6826491228070175,4.696,9.385964912280702,309,10
E07000090,Havant,E54000042,Hampshire and the Isle of Wight,TLJ35,South Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),78,21.7630641025641,16.866,5.448717948717949,117,4
E07000091,New Forest,E54000042,Hampshire and the Isle of Wight,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),114,13.113315789473685,10.9805,7.210526315789474,238,8
E07000092,Rushmoor,E54000034,Frimley Health and Care ICS,TLJ37,North Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),58,15.662706896551725,13.303999999999998,6.551724137931034,199,7
E07000093,Test Valley,E54000042,Hampshire and the Isle of Wight,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),71,11.598239436619718,11.428,7.577464788732395,267,9
E07000094,Winchester,E54000042,Hampshire and the Isle of Wight,TLJ36,Central Hampshire,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),70,9.671557142857143,7.6125,8.185714285714285,287,10
E07000095,Broxbourne,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,56,17.6,16.0305,5.9107142857142865,168,6
E07000096,Dacorum,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,94,12.805542553191488,11.576,7.212765957446808,239,8
E07000098,Hertsmere,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,62,14.021645161290323,12.655999999999999,6.935483870967742,220,8
E07000099,North Hertfordshire,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,82,11.826146341463415,9.9595,7.560975609756097,261,9
E07000102,Three Rivers,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,53,9.83277358490566,6.696,8.056603773584905,285,10
E07000103,Watford,E54000025,Hertfordshire and West Essex,TLH23,Hertfordshire CC,TLH2,Bedfordshire and Hertfordshire,TLH,East,53,15.429849056603773,15.089,6.433962264150944,203,7
E07000105,Ashford,E54000032,Kent and Medway,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England),78,18.56555128205128,16.348999999999997,5.730769230769231,153,5
E07000106,Canterbury,E54000032,Kent and Medway,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),90,17.5692,14.243,6.133333333333334,169,6
E07000107,Dartford,E54000032,Kent and Medway,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),58,18.83653448275862,17.109,5.793103448275862,150,5
E07000108,Dover,E54000032,Kent and Medway,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),67,22.08968656716418,19.489,5,111,4
E07000109,Gravesham,E54000032,Kent and Medway,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),64,20.742375,17.5215,5.34375,130,5
E07000110,Maidstone,E54000032,Kent and Medway,TLJ45,Mid Kent,TLJ4,Kent,TLJ,South East (England),95,16.175168421052632,14.769,6.442105263157896,185,6
E07000111,Sevenoaks,E54000032,Kent and Medway,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),74,12.566662162162162,11.25,7.364864864864865,244,8
E07000112,Folkestone and Hythe,E54000032,Kent and Medway,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),67,23.985014925373132,20.922,4.597014925373134,90,3
E07000113,Swale,E54000032,Kent and Medway,TLJ43,Kent Thames Gateway,TLJ4,Kent,TLJ,South East (England),85,27.344635294117648,21.836,4.411764705882352,56,2
E07000114,Thanet,E54000032,Kent and Medway,TLJ44,East Kent,TLJ4,Kent,TLJ,South East (England),84,30.315440476190474,25.025,3.964285714285714,33,2
E07000115,Tonbridge and Malling,E54000032,Kent and Medway,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),72,13.16238888888889,11.837,7.208333333333334,236,8
E07000116,Tunbridge Wells,E54000032,Kent and Medway,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England),68,11.351823529411766,10.5565,7.617647058823529,270,9
