scenario,imd_decile,age_group,age_idx,adm_base,adm_cf,adm_diff,adm_attr_frac,death_base,death_cf,death_diff,death_attr_frac,adm_avoided_abs,death_avoided_abs
CF2: decile 5 πₐ,5,Under 1,1,0.005834115780923774,0.005834115780923774,0,0,2.2614671702066174e-4,2.2614671702066174e-4,0,0,0,0
CF2: decile 5 πₐ,5,1 to 4,2,0.025358225842045147,0.025358225842045147,0,0,9.830268410919187e-4,9.830268410919187e-4,0,0,0,0
CF2: decile 5 πₐ,5,5 to 9,3,0.05942990967444669,0.05942990967444669,0,0,0.002358539748132076,0.002358539748132076,0,0,0,0
CF2: decile 5 πₐ,5,10 to 14,4,0.015575917820579882,0.015575917820579882,0,0,6.017754336988127e-4,6.017754336988127e-4,0,0,0,0
CF2: decile 5 πₐ,5,15 to 19,5,0.0064646670164209595,0.0064646670164209595,0,0,1.942533553489782e-4,1.942533553489782e-4,0,0,0,0
CF2: decile 5 πₐ,5,20 to 24,6,0.011857778079307778,0.011857778079307778,0,0,4.122293703793856e-4,4.122293703793856e-4,0,0,0,0
CF2: decile 5 πₐ,5,25 to 29,7,0.06562143498840793,0.06562143498840793,0,0,0.0029143884537432504,0.0029143884537432504,0,0,0,0
CF2: decile 5 πₐ,5,30 to 34,8,0.08429668988823576,0.08429668988823576,0,0,0.004175654839962287,0.004175654839962287,0,0,0,0
CF2: decile 5 πₐ,5,35 to 39,9,0.11858159076353793,0.11858159076353793,0,0,0.006389217525466068,0.006389217525466068,0,0,0,0
CF2: decile 5 πₐ,5,40 to 44,10,0.1749155714707641,0.1749155714707641,0,0,0.010736866625718407,0.010736866625718407,0,0,0,0
CF2: decile 5 πₐ,5,45 to 49,11,0.26330028959976526,0.26330028959976526,0,0,0.01974882698499822,0.01974882698499822,0,0,0,0
CF2: decile 5 πₐ,5,50 to 54,12,0.2954149160265013,0.2954149160265013,0,0,0.026817496956831097,0.026817496956831097,0,0,0,0
CF2: decile 5 πₐ,5,55 to 59,13,0.4618830630207965,0.4618830630207965,0,0,0.052207075768971975,0.052207075768971975,0,0,0,0
CF2: decile 5 πₐ,5,60 to 64,14,0.8633433497505432,0.8633433497505432,0,0,0.11983786178604142,0.11983786178604142,0,0,0,0
CF2: decile 5 πₐ,5,65 to 69,15,0.9487414985454001,0.9487414985454001,0,0,0.15990242004691474,0.15990242004691474,0,0,0,0
CF2: decile 5 πₐ,5,70 to 74,16,1.646069794546865,1.646069794546865,0,0,0.32216954948435345,0.32216954948435345,0,0,0,0
CF2: decile 5 πₐ,5,75+,17,3.6875174994453697,3.6875174994453697,0,0,0.8756541935566196,0.8756541935566196,0,0,0,0
CF2: decile 5 πₐ,6,Under 1,1,0.004725684329535205,0.005060549885725468,-3.348655561902633e-4,0,1.8163883945058342e-4,1.9532234888296117e-4,-1.368350943237775e-5,0,-0.01216126592408103,-4.969421127542512e-4
CF2: decile 5 πₐ,6,1 to 4,2,0.02103523991935428,0.022479155887099735,-0.0014439159677454537,0,8.086157511336085e-4,8.677070919290166e-4,-5.909134079540811e-5,0,-0.22561535570136043,-0.00923316465101699
CF2: decile 5 πₐ,6,5 to 9,3,0.05079121030481395,0.053515790188229856,-0.0027245798834159077,0,0.0020005886217883107,0.002115710148102687,-1.1512152631437634e-4,0,-0.5538703731600325,-0.02340265489245073
CF2: decile 5 πₐ,6,10 to 14,4,0.013628890470756102,0.014408233717739085,-7.793432469829827e-4,0,5.22446312115723e-4,5.544621594664722e-4,-3.2015847350749175e-5,0,-0.15158777835128595,-0.006227308943423671
CF2: decile 5 πₐ,6,15 to 19,5,0.0054271313341107946,0.005897049594688014,-4.6991826057721925e-4,0,1.617923026682741e-4,1.7649147057829245e-4,-1.4699167910018344e-5,0,-0.0845189557312298,-0.002643775367117499
CF2: decile 5 πₐ,6,20 to 24,6,0.009649595707319748,0.010611895142263347,-9.622994349435983e-4,0,3.3264930584817347e-4,3.673523322238466e-4,-3.470302637567315e-5,0,-0.22342540931676208,-0.008057302738590521
CF2: decile 5 πₐ,6,25 to 29,7,0.05300570256409891,0.058556986911687814,-0.005551284347588906,0,0.002334255119369167,0.0025895706869299034,-2.5531556756073657e-4,0,-1.3837505847253655,-0.0636416806959463
CF2: decile 5 πₐ,6,30 to 34,8,0.06723564289295772,0.07480267716827388,-0.007567034275316159,0,0.0033028310106097488,0.003689724451334484,-3.8689344072473505e-4,0,-1.8894024818881288,-0.09660289626493203
CF2: decile 5 πₐ,6,35 to 39,9,0.09563151035379629,0.10681559069827232,-0.01118408034447603,0,0.0051091942034054896,0.005730677475996166,-6.214832725906765e-4,0,-2.6786029747104623,-0.1488461180016827
CF2: decile 5 πₐ,6,40 to 44,10,0.14335596724191269,0.163561162124305,-0.020205194882392308,0,0.00872568501339748,0.009997296684735283,-0.0012716116713378037,0,-4.4237025020386564,-0.2784052202842484
CF2: decile 5 πₐ,6,45 to 49,11,0.21512035987642777,0.24881785912711182,-0.03369749925068405,0,0.015998508924729673,0.018583074876118957,-0.002584565951389284,0,-7.48167493409075,-0.5738373091178594
CF2: decile 5 πₐ,6,50 to 54,12,0.24154614118274664,0.2803077207594483,-0.03876157957670168,0,0.021737947697017007,0.02533501565284491,-0.003597067955827902,0,-9.120940427143063,-0.8464217118027815
CF2: decile 5 πₐ,6,55 to 59,13,0.38348111941604096,0.4470418706820148,-0.06356075126597382,0,0.04297155835407701,0.0503100186021789,-0.007338460248101891,0,-14.602305140346354,-1.6859214793524804
CF2: decile 5 πₐ,6,60 to 64,14,0.7224583235099151,0.836750274745658,-0.11429195123574287,0,0.09942689591173205,0.11564604480926904,-0.016219148897536992,0,-22.2931144720483,-3.1636116025894876
CF2: decile 5 πₐ,6,65 to 69,15,0.8302723191823025,0.9383175697446939,-0.10804525056239145,0,0.13876887379510452,0.15748047541384527,-0.018711601618740747,0,-18.542784507124992,-3.2112952193037256
CF2: decile 5 πₐ,6,70 to 74,16,1.5235134998156523,1.6953060360926246,-0.17179253627697233,0,0.2956890392335007,0.3304060428067634,-0.034717003573262684,0,-30.088367713365926,-6.080461887671574
CF2: decile 5 πₐ,6,75+,17,3.47302734626371,3.7591495383136593,-0.2861221920499495,0,0.8178956078155666,0.8889193780342904,-0.07102377021872386,0,-87.98737217093687,-21.84100037276036
CF2: decile 5 πₐ,7,Under 1,1,0.003335179254668132,0.004051906518190881,-7.167272635227491e-4,0,1.2578212999595515e-4,1.547397781399145e-4,-2.8957648143959348e-5,0,-0.02421687533458527,-9.784248357433802e-4
CF2: decile 5 πₐ,7,1 to 4,2,0.01507184380741312,0.01823070485556379,-0.00315886104815067,0,5.685352215596476e-4,6.963275494582499e-4,-1.277923278986023e-4,0,-0.46184758467993453,-0.01868413237586022
CF2: decile 5 πₐ,7,5 to 9,3,0.03902072272307194,0.04566845146018053,-0.006647728737108588,0,0.001510062027936837,0.0017881660042381989,-2.7810397630136183e-4,0,-1.2898840122667172,-0.053961568975654954
CF2: decile 5 πₐ,7,10 to 14,4,0.010649068240989884,0.012558841629800565,-0.0019097733888106816,0,4.00897794128349e-4,4.785393569553734e-4,-7.764156282702439e-5,0,-0.3589835822795976,-0.014594425977832415
CF2: decile 5 πₐ,7,15 to 19,5,0.004053924092637169,0.005148281243230509,-0.0010943571505933397,0,1.1866190237668015e-4,1.525536883775588e-4,-3.3891786000878646e-5,0,-0.19111666573729985,-0.005918803685668944
CF2: decile 5 πₐ,7,20 to 24,6,0.0063466886566715015,0.008123903251628789,-0.0017772145949572875,0,2.1462289828807883e-4,2.782454639500693e-4,-6.36225656619905e-5,0,-0.3641237218967717,-0.013035277490517399
CF2: decile 5 πₐ,7,25 to 29,7,0.03494449683120044,0.044670526685862313,-0.009726029854661873,0,0.0015094607740721985,0.0019544512160534085,-4.4499044198121e-4,0,-2.1231023680317898,-0.09713729807943967
CF2: decile 5 πₐ,7,30 to 34,8,0.045105068913989195,0.058219247187125706,-0.01311417827313651,0,0.002174898735237265,0.0028418941296166037,-6.669953943793387e-4,0,-2.903779832741799,-0.14768807731535905
CF2: decile 5 πₐ,7,35 to 39,9,0.06604624319932978,0.08793659176268433,-0.021890348563354547,0,0.0034614746614717883,0.0046679273805913905,-0.0012064527191196022,0,-4.861577120767077,-0.2679383071303765
CF2: decile 5 πₐ,7,40 to 44,10,0.10220593996943206,0.13967162718017043,-0.03746568721073837,0,0.006102978890797196,0.008447284474728898,-0.002344305583931702,0,-7.85383901058549,-0.49143096039458284
CF2: decile 5 πₐ,7,45 to 49,11,0.158768886448477,0.22238103404030837,-0.06361214759183137,0,0.011582755301424993,0.016433243560989384,-0.004850488259564391,0,-14.1092659999264,-1.075845285445169
CF2: decile 5 πₐ,7,50 to 54,12,0.17626286890238116,0.25053324076807143,-0.07427037186569027,0,0.015557475675505408,0.022400070032366527,-0.006842594356861119,0,-17.68101818438169,-1.6289676786699705
